semantic_model,session_index,session_id,token_id,book_frame_index,local_receive_time,updates_since_prior_book,full_book_equal,bid_equal,ask_equal,best_bid_equal,best_ask_equal,bid_diff_levels,ask_diff_levels,absolute_size_error,rebootstrap_after_check
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2256,2026-09-13T00:07:25.527769+00:00,39,False,False,False,True,True,1,2,5500.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2260,2026-09-13T00:07:25.631434+00:00,2,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2268,2026-09-13T00:07:27.568153+00:00,5,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2277,2026-09-13T00:07:30.719071+00:00,5,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2281,2026-09-13T00:07:30.791708+00:00,2,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2292,2026-09-13T00:07:32.458991+00:00,9,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2307,2026-09-13T00:07:36.173769+00:00,9,False,True,False,True,True,0,1,3000.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2309,2026-09-13T00:07:36.201018+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2312,2026-09-13T00:07:36.263503+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2322,2026-09-13T00:07:38.303757+00:00,8,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2332,2026-09-13T00:07:41.439284+00:00,6,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2335,2026-09-13T00:07:41.481603+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2338,2026-09-13T00:07:41.510513+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2346,2026-09-13T00:07:42.515516+00:00,6,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2352,2026-09-13T00:07:46.739087+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2354,2026-09-13T00:07:46.828735+00:00,1,True,True,True,True,True,0,0,0.00,True
ABSOLUTE,2,ceb92c1f-e263-4a8a-b961-291dfcf82844,26924943409099587884725835387292512623954637197660419126367977003516773219764,2358,2026-09-13T00:07:46.899647+00:00,1,True,True,True,True,True,0,0,0.00,True
