token_id,rest_local_receive_time,session_id,rest_best_bid,stream_best_bid,rest_best_ask,stream_best_ask,time_gap_ms,best_bid_equal,best_ask_equal,full_depth_equal,rest_hash,result,notes
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:06:49.955972+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,4900.1,True,True,True,0d29d9f6e4d362105ad0950807af0f4e05ae6d2f,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:06:50.059569+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.18,0.18,0.22,0.22,1.0,True,True,False,3ff767b076b1e038151b1152a0d2a58ddbb5bec3,TOP_OF_BOOK_MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:07:05.165619+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.5,0.5,0.51,0.51,12304.4,True,True,True,cdae9ecbce7cc5a9914d6dd4c57a9d2a8046d02c,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:07:05.268649+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,321.2,True,True,True,5b4de23b0f7ba4e58060617de0893d6e8cde6e80,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:07:05.370755+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,20314.9,True,True,True,0d29d9f6e4d362105ad0950807af0f4e05ae6d2f,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:07:05.468920+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.16,0.16,0.17,0.17,159.0,True,True,True,0a782434244b3b4e84c385f3573e586595932e0d,MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:07:20.574027+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.5,0.5,0.51,0.51,27712.8,True,True,True,cdae9ecbce7cc5a9914d6dd4c57a9d2a8046d02c,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:07:20.673889+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,9750.5,True,True,True,4a71d74b108d73add39f0beaf09cca861243396e,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:07:20.894412+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,35838.5,True,True,True,0d29d9f6e4d362105ad0950807af0f4e05ae6d2f,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:07:20.994698+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.16,0.16,0.17,0.17,585.0,True,True,True,304e929863858f58db2cbf617a0460a743e9402c,MATCH,
84697572938572732642876077505847013109919721646551043171063870280539349588315,2026-09-13T00:07:36.100658+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.5,0.5,0.51,0.51,43239.4,True,True,True,cdae9ecbce7cc5a9914d6dd4c57a9d2a8046d02c,MATCH,
86678697607325035415301144402167255215468684543893990956207990950437281806267,2026-09-13T00:07:36.202459+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,11290.7,True,True,True,deaee9a908cbe00907a9dffb18b5b6b810638222,MATCH,
29593316250860173485681500655272516621071562717109962191321330351423433807292,2026-09-13T00:07:36.295257+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.999,0.999,,,2239.1,True,True,True,49407aa00e8500c3f44acf11924f6fae6c94f771,MATCH,
26924943409099587884725835387292512623954637197660419126367977003516773219764,2026-09-13T00:07:36.393063+00:00,ceb92c1f-e263-4a8a-b961-291dfcf82844,0.16,0.16,0.17,0.17,129.6,True,True,True,63f5ed0b52bbd27ed8fab35e7709dd32a024629f,MATCH,
